partido,tema,fecha
Unidas Podemos,Fiscalidad,9/4/2019
Unidas Podemos,Fiscalidad,9/4/2019
Unidas Podemos,Fiscalidad,9/4/2019
Unidas Podemos,Empleo,9/4/2019
Unidas Podemos,Empleo,9/4/2019
Unidas Podemos,Calidad democrática,9/4/2019
Unidas Podemos,Fiscalidad,8/4/2019
Unidas Podemos,Fiscalidad,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Fiscalidad,8/4/2019
Unidas Podemos,Fiscalidad,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Género,8/4/2019
Unidas Podemos,Fiscalidad,8/4/2019
Unidas Podemos,Empleo,8/4/2019
Unidas Podemos,Género,4/4/2019
Unidas Podemos,Cambio climático,3/4/2019
Unidas Podemos,Empleo,31/3/2019
Unidas Podemos,Fiscalidad,31/3/2019
Unidas Podemos,Fiscalidad,31/3/2019
Unidas Podemos,Sanidad,31/3/2019
Unidas Podemos,Protección social,31/3/2019
Unidas Podemos,Género,31/3/2019
Unidas Podemos,Género,31/3/2019
Unidas Podemos,Cambio climático,31/3/2019
Unidas Podemos,Fiscalidad,31/3/2019
Unidas Podemos,Cambio climático,26/3/2019
Unidas Podemos,Calidad democrática,26/3/2019
Unidas Podemos,Empleo,26/3/2019
Unidas Podemos,Fiscalidad,26/3/2019
Unidas Podemos,Calidad democrática,25/3/2019
Unidas Podemos,Calidad democrática,23/3/2019
Unidas Podemos,Empleo,23/3/2019
Unidas Podemos,Cambio climático,23/3/2019
Unidas Podemos,Fiscalidad,23/3/2019
Unidas Podemos,Fiscalidad,23/3/2019
Unidas Podemos,Fiscalidad,23/3/2019
Unidas Podemos,Género,23/3/2019
Unidas Podemos,Desarrollo,22/3/2019
Unidas Podemos,Cambio climático,18/3/2019
Unidas Podemos,Cambio climático,14/3/2019
Unidas Podemos,Cambio climático,11/3/2019
Unidas Podemos,Empleo,7/3/2019
Unidas Podemos,Género,7/3/2019
Unidas Podemos,Género,7/3/2019
Unidas Podemos,Género,7/3/2019
Unidas Podemos,Género,7/3/2019
Unidas Podemos,Educación,5/3/2019
Unidas Podemos,Empleo,4/3/2019
Unidas Podemos,Género,4/3/2019
